t_lb,R_disc_birth_50,R_disc_birth_16,R_disc_birth_84,R_eff_birth_50,R_eff_birth_16,R_eff_birth_84
9.97979797979798,0.9620413281487887,0.9301980829297877,0.995737025389862,1.6428913363285487,1.58708054345327,1.7002031713897865
10.111111111111112,0.9489193148937937,0.9179046904790445,0.9830419613421135,1.623053703217589,1.5661893241043983,1.675527073612103
10.242424242424244,0.9394367658109826,0.909640374607241,0.9731845337853207,1.603759393438335,1.5464415807756315,1.6589306910536892
10.373737373737375,0.9349058078255386,0.9049264242730356,0.9664587539505731,1.5955989690534484,1.541797627528423,1.6482317618636824
10.505050505050503,0.9326889487487626,0.9044110385524576,0.9622270445515237,1.590217708942315,1.532936429311236,1.637227365360903
10.636363636363637,0.933701589034297,0.9058759906702809,0.962073880394075,1.5916613752657063,1.5395302512833726,1.6342018971452386
10.767676767676768,0.9377054152795514,0.910438826794658,0.9654510479663694,1.5983752549045276,1.548383162013139,1.6380599915104062
10.8989898989899,0.9444502334633847,0.9164347209891776,0.9731114339230464,1.6102734463759432,1.5616176786295852,1.6602595880063704
11.030303030303031,0.9543290655855846,0.9251360351840718,0.9843615871645442,1.6277688594761792,1.5784043020655314,1.6792742482591712
11.161616161616164,0.9668346101396805,0.9367054270759997,0.9997916840585273,1.6508922265857704,1.5988270369809954,1.7008827028890023
11.292929292929294,0.9826466430270652,0.9509419633040576,1.018280660426691,1.6798632748898057,1.620877816406056,1.7363590567956975
11.424242424242426,1.000466826336622,0.9670497198695139,1.0391957666869573,1.7093504492719247,1.6483178427009846,1.7703769184354499
11.555555555555555,1.022000609275351,0.9863338429333944,1.0633585201559046,1.7501969983834897,1.6819814540841327,1.818446439193338
11.686868686868689,1.045549429926946,1.0097688467337098,1.0906593849463786,1.7912082924424073,1.719904285752294,1.8576470774173772
11.81818181818182,1.0727506421196529,1.0347392786487721,1.1182039290667933,1.836967900705781,1.7657171629195867,1.9126529998773403
11.94949494949495,1.1035128076517435,1.0607095833562672,1.1511875846393742,1.8904672740682193,1.8159427103071517,1.9752362370653715
12.08080808080808,1.135309177135569,1.0872726923758353,1.1870582921252768,1.9457861166816368,1.8549841406444683,2.027849070616723
12.212121212121213,1.168043641699851,1.1157906736587455,1.2298249213659718,2.009530257994106,1.9128440369950737,2.1110954738477687
12.343434343434344,1.2050900899683175,1.1432888977932592,1.2754807872587868,2.07964210498024,1.9557383544263534,2.1821366437425174
12.474747474747476,1.2397000399065816,1.1704104840034297,1.3208151403921633,2.151263596742031,2.0154829021297007,2.2710012240116866
12.606060606060607,1.2763305833168719,1.1966295398136453,1.3713879294316151,2.220832822150495,2.0691249682714945,2.3689096972705657
12.73737373737374,1.3146694234479361,1.2237782616542445,1.4210318316726573,2.290919141557828,2.110870628719403,2.461508834530873
12.86868686868687,1.35433788488755,1.2472444463981376,1.4713433057984326,2.3724363009557043,2.1754175125792794,2.5606917958526823
13.0,1.3919872538950286,1.272698517522231,1.5263974309615618,2.4424097636279436,2.21151342771886,2.6514964381802923
